date,disease_name,forecast
2025-11-10,COVID-19,2.181814533639729
2025-11-11,COVID-19,2.209786089085282
2025-11-12,COVID-19,2.2377576445308356
2025-11-13,COVID-19,2.2657291999763887
2025-11-14,COVID-19,2.2937007554219417
2025-11-15,COVID-19,2.321672310867495
2025-11-16,COVID-19,2.349643866313048
2025-11-17,COVID-19,2.377615421758601
2025-11-18,COVID-19,2.4055869772041545
2025-11-19,COVID-19,2.4335585326497076
2025-11-20,COVID-19,2.4615300880952606
2025-11-21,COVID-19,2.4895016435408137
2025-11-22,COVID-19,2.517473198986367
2025-11-23,COVID-19,2.5454447544319203
2025-11-10,Dengue,1.093060673144786
2025-11-11,Dengue,0.46937919885614177
2025-11-12,Dengue,0.0
2025-11-13,Dengue,0.0
2025-11-14,Dengue,0.0
2025-11-15,Dengue,0.0
2025-11-16,Dengue,0.0
2025-11-17,Dengue,0.0
2025-11-18,Dengue,0.0
2025-11-19,Dengue,0.0
2025-11-20,Dengue,0.0
2025-11-21,Dengue,0.0
2025-11-22,Dengue,0.0
2025-11-23,Dengue,0.0
2025-11-08,Ebola,0.6
2025-11-09,Ebola,0.6
2025-11-10,Ebola,0.6
2025-11-11,Ebola,0.6
2025-11-12,Ebola,0.6
2025-11-13,Ebola,0.6
2025-11-14,Ebola,0.6
2025-11-15,Ebola,0.6
2025-11-16,Ebola,0.6
2025-11-17,Ebola,0.6
2025-11-18,Ebola,0.6
2025-11-19,Ebola,0.6
2025-11-20,Ebola,0.6
2025-11-21,Ebola,0.6
2025-11-11,Influenza,3.2857145704518436
2025-11-12,Influenza,2.5714290621404046
2025-11-13,Influenza,1.8571435538289656
2025-11-14,Influenza,1.142858045517527
2025-11-15,Influenza,0.42857253720608846
2025-11-16,Influenza,0.0
2025-11-17,Influenza,0.0
2025-11-18,Influenza,0.0
2025-11-19,Influenza,0.0
2025-11-20,Influenza,0.0
2025-11-21,Influenza,0.0
2025-11-22,Influenza,0.0
2025-11-23,Influenza,0.0
2025-11-24,Influenza,0.0
2025-11-08,Malaria,1.2666351413580235
2025-11-09,Malaria,1.2969303771165854
2025-11-10,Malaria,1.3272256128751474
2025-11-11,Malaria,1.3575208486337094
2025-11-12,Malaria,1.3878160843922713
2025-11-13,Malaria,1.4181113201508333
2025-11-14,Malaria,1.4484065559093953
2025-11-15,Malaria,1.4787017916679572
2025-11-16,Malaria,1.5089970274265192
2025-11-17,Malaria,1.539292263185081
2025-11-18,Malaria,1.5695874989436431
2025-11-19,Malaria,1.5998827347022049
2025-11-20,Malaria,1.630177970460767
2025-11-21,Malaria,1.6604732062193288
2025-11-04,Measles,2.0
2025-11-05,Measles,2.0
2025-11-06,Measles,2.0
2025-11-07,Measles,2.0
2025-11-08,Measles,2.0
2025-11-09,Measles,2.0
2025-11-10,Measles,2.0
2025-11-11,Measles,2.0
2025-11-12,Measles,2.0
2025-11-13,Measles,2.0
2025-11-14,Measles,2.0
2025-11-15,Measles,2.0
2025-11-16,Measles,2.0
2025-11-17,Measles,2.0
2025-10-31,Meningitis,2.0
2025-11-01,Meningitis,2.0
2025-11-02,Meningitis,2.0
2025-11-03,Meningitis,2.0
2025-11-04,Meningitis,2.0
2025-11-05,Meningitis,2.0
2025-11-06,Meningitis,2.0
2025-11-07,Meningitis,2.0
2025-11-08,Meningitis,2.0
2025-11-09,Meningitis,2.0
2025-11-10,Meningitis,2.0
2025-11-11,Meningitis,2.0
2025-11-12,Meningitis,2.0
2025-11-13,Meningitis,2.0
2025-11-11,Tuberculosis,0.4909091851849784
2025-11-12,Tuberculosis,0.3909091867934985
2025-11-13,Tuberculosis,0.29090918840201857
2025-11-14,Tuberculosis,0.1909091900105387
2025-11-15,Tuberculosis,0.0909091916190588
2025-11-16,Tuberculosis,0.0
2025-11-17,Tuberculosis,0.0
2025-11-18,Tuberculosis,0.0
2025-11-19,Tuberculosis,0.0
2025-11-20,Tuberculosis,0.0
2025-11-21,Tuberculosis,0.0
2025-11-22,Tuberculosis,0.0
2025-11-23,Tuberculosis,0.0
2025-11-24,Tuberculosis,0.0
2025-11-01,Zika,1.0
2025-11-02,Zika,1.0
2025-11-03,Zika,1.0
2025-11-04,Zika,1.0
2025-11-05,Zika,1.0
2025-11-06,Zika,1.0
2025-11-07,Zika,1.0
2025-11-08,Zika,1.0
2025-11-09,Zika,1.0
2025-11-10,Zika,1.0
2025-11-11,Zika,1.0
2025-11-12,Zika,1.0
2025-11-13,Zika,1.0
2025-11-14,Zika,1.0
