title,date,description,link,source,fetched_at
"Hokkaido Reports Second Bird Flu Case of the Season, Massive Culling Underway",2025-11-02T20:20:04Z,"An outbreak of highly pathogenic avian influenza has been confirmed at a poultry farm in Eniwa City, Hokkaido, prompting authorities to begin culling operations on the afternoon of November 2nd. (News On Japan)",https://newsonjapan.com/article/147480.php,Newsonjapan.com,2025-11-03 15:06:00
New Zealand measles outbreak: What it’s like when your child has measles - and a GP’s warning,2025-11-02T18:56:01Z,What it’s like when your child has measles - and a GP’s warning for families.,https://www.nzherald.co.nz/lifestyle/new-zealand-measles-outbreak-what-its-like-when-your-child-has-measles-and-a-gps-warning/RZKBC7U66RGS5OU2H7DS4X6HL4/,New Zealand Herald,2025-11-03 15:06:00
This Physicist Says We Don’t Take COVID Seriously Enough,2025-11-02T18:46:46Z,"The pandemic isn't over, and there's still much to fear from the COVID-19 virus.",https://werd.io/this-physicist-says-we-dont-take-covid-seriously-enough/,Werd.io,2025-11-03 15:06:00
A Biologist Reveals The #1 Most Devastating Disease Brought By Columbus Back To Europe (Hint: It’s Sexually Transmitted),2025-11-02T13:53:47Z,"When we think about the “Columbian exchange,” much attention is paid to the diseases that were brought from the Old World to the New World. But disease transmission is always a two-way street. A biologist explains.",https://www.forbes.com/sites/scotttravers/2025/11/02/a-biologist-reveals-the-1-most-devastating-disease-brought-by-columbus-back-to-europe-hint-its-sexually-transmitted/,Forbes,2025-11-03 15:06:00
This 1 Virus Is The Most Likely To Be Lingering On Your Unwashed Clothes,2025-11-02T12:00:20Z,"Which germs tend to live on clothing the longest, the types of fabric that harbor germs and how to properly wash your clothes.",https://www.huffpost.com/entry/laundry-washing-clothes-sickness-goog_l_6904bbd1e4b0d05408abf26f,HuffPost,2025-11-03 15:06:00
Most blacklisted individuals involve in check-bounce cases,2025-11-02T09:45:00Z,"Kathmandu, Nov 1: Even after the government extended the duration for putting defaulters on the financial blacklist, the number of […]
The post Most blacklisted individuals involve in check-bounce cases appeared first on Peoples' Review.",https://mypeoplesreview.com/2025/11/02/most-blacklisted-individuals-involve-check-bounce-cases/,Mypeoplesreview.com,2025-11-03 15:06:00
"People suffering from Parkinson’s disease feel pitied and misjudged, Irish study finds",2025-11-02T05:30:00Z,"People living with Parkinson’s disease in Ireland have spoken about suffering from stigma, alienation and isolation.",https://www.independent.ie/irish-news/people-suffering-from-parkinsons-disease-feel-pitied-and-misjudged-irish-study-finds/a731091220.html,Independent.ie,2025-11-03 15:06:00
"Screening clinics for tuberculosis opening up in Inukjuak, Que., amid rising cases across Nunavik",2025-11-01T17:23:35Z,"The Inuulitsivik Health Centre, which provides services to Nunavimmiut on the Hudson Bay coast, said it will be setting up mobile clinics in Inukjuak from Nov. 3 to Nov. 28. After that, IHC said each community along the Hudson coast will have its own screenin…",https://www.cbc.ca/news/canada/north/mass-screening-tuberculosis-nunavik-9.6962490,CBC News,2025-11-03 15:06:00
Hundreds killed in Darfur hospital massacre amid Sudan’s deadly civil war,2025-11-01T16:58:00Z,"Displaced Sudanese who fled El-Fasher after the city fell to the Rapid Support Forces (RSF), arrive in the town of Tawila war-torn Sudan's western Darfur region on October 28, 2025. / Credit: AFP via Getty Images

Washington, D.C. Newsroom, Nov 1, 2025 / 12:5…",https://www.catholicnewsagency.com/news/267537/hundreds-killed-in-darfur-hospital-massacre-amid-sudan-s-deadly-civil-war,Catholicnewsagency.com,2025-11-03 15:06:00
Hundreds Killed as Sudanese Militia Overrun Last Hospital in Darfur,2025-10-31T18:32:45Z,"The Sudanese insurgent militia known as the Rapid Support Forces (RSF) overran the city of al-Fashir and raided its last functioning hospital this week, reportedly killing hundreds of people and displacing thousands of others.
The post Hundreds Killed as Suda…",https://www.breitbart.com/africa/2025/10/31/hundreds-killed-as-sudanese-militia-overrun-last-hospital-in-darfur/,Breitbart News,2025-11-03 15:06:00
